,sepal length (cm),sepal length mean,sepal length median,sepal length std,sepal width (cm),sepal width mean,sepal width median,sepal width std,petal length (cm),petal length mean,petal length median,petal length std,petal width (cm),petal width mean,petal width median,petal width std
0,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.5,6.557333333333334,6.5,3.935866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
1,4.9,10.743333333333334,10.7,10.743333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
2,4.7,10.543333333333333,10.5,10.543333333333333,3.2,6.257333333333333,6.2,3.6358662849366983,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
3,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.1,6.157333333333334,6.1,3.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
4,5.0,10.843333333333334,10.8,10.843333333333334,3.6,6.657333333333334,6.6,4.035866284936699,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
5,5.4,11.243333333333334,11.2,11.243333333333334,3.9,6.957333333333334,6.9,4.3358662849366985,1.7,5.458,6.05,5.458,0.4,3.4573333333333336,3.4,0.8358662849366982
6,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.4,6.457333333333334,6.4,3.835866284936698,1.4,5.158,5.75,5.158,0.3,3.3573333333333335,3.3,0.7358662849366981
7,5.0,10.843333333333334,10.8,10.843333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
8,4.4,10.243333333333334,10.2,10.243333333333334,2.9,5.957333333333334,5.9,3.335866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
9,4.9,10.743333333333334,10.7,10.743333333333334,3.1,6.157333333333334,6.1,3.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.1,3.1573333333333338,3.1,0.5358662849366982
10,5.4,11.243333333333334,11.2,11.243333333333334,3.7,6.757333333333333,6.7,4.135866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
11,4.8,10.643333333333334,10.6,10.643333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.2,3.257333333333334,3.2,0.6358662849366983
12,4.8,10.643333333333334,10.6,10.643333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.4,5.158,5.75,5.158,0.1,3.1573333333333338,3.1,0.5358662849366982
13,4.3,10.143333333333334,10.1,10.143333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.1,4.8580000000000005,5.449999999999999,4.8580000000000005,0.1,3.1573333333333338,3.1,0.5358662849366982
14,5.8,11.643333333333334,11.6,11.643333333333334,4.0,7.057333333333334,7.0,4.435866284936698,1.2,4.958,5.55,4.958,0.2,3.257333333333334,3.2,0.6358662849366983
15,5.7,11.543333333333333,11.5,11.543333333333333,4.4,7.4573333333333345,7.4,4.8358662849366985,1.5,5.258000000000001,5.85,5.258000000000001,0.4,3.4573333333333336,3.4,0.8358662849366982
16,5.4,11.243333333333334,11.2,11.243333333333334,3.9,6.957333333333334,6.9,4.3358662849366985,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.4,3.4573333333333336,3.4,0.8358662849366982
17,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.5,6.557333333333334,6.5,3.935866284936698,1.4,5.158,5.75,5.158,0.3,3.3573333333333335,3.3,0.7358662849366981
18,5.7,11.543333333333333,11.5,11.543333333333333,3.8,6.857333333333333,6.8,4.235866284936698,1.7,5.458,6.05,5.458,0.3,3.3573333333333335,3.3,0.7358662849366981
19,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.8,6.857333333333333,6.8,4.235866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.3,3.3573333333333335,3.3,0.7358662849366981
20,5.4,11.243333333333334,11.2,11.243333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.7,5.458,6.05,5.458,0.2,3.257333333333334,3.2,0.6358662849366983
21,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.7,6.757333333333333,6.7,4.135866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.4,3.4573333333333336,3.4,0.8358662849366982
22,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.6,6.657333333333334,6.6,4.035866284936699,1.0,4.758000000000001,5.35,4.758000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
23,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.3,6.357333333333333,6.3,3.735866284936698,1.7,5.458,6.05,5.458,0.5,3.5573333333333337,3.5,0.9358662849366982
24,4.8,10.643333333333334,10.6,10.643333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.9,5.658,6.25,5.658,0.2,3.257333333333334,3.2,0.6358662849366983
25,5.0,10.843333333333334,10.8,10.843333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.2,3.257333333333334,3.2,0.6358662849366983
26,5.0,10.843333333333334,10.8,10.843333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.4,3.4573333333333336,3.4,0.8358662849366982
27,5.2,11.043333333333333,11.0,11.043333333333333,3.5,6.557333333333334,6.5,3.935866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
28,5.2,11.043333333333333,11.0,11.043333333333333,3.4,6.457333333333334,6.4,3.835866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
29,4.7,10.543333333333333,10.5,10.543333333333333,3.2,6.257333333333333,6.2,3.6358662849366983,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.2,3.257333333333334,3.2,0.6358662849366983
30,4.8,10.643333333333334,10.6,10.643333333333334,3.1,6.157333333333334,6.1,3.535866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.2,3.257333333333334,3.2,0.6358662849366983
31,5.4,11.243333333333334,11.2,11.243333333333334,3.4,6.457333333333334,6.4,3.835866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.4,3.4573333333333336,3.4,0.8358662849366982
32,5.2,11.043333333333333,11.0,11.043333333333333,4.1,7.157333333333334,7.1,4.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.1,3.1573333333333338,3.1,0.5358662849366982
33,5.5,11.343333333333334,11.3,11.343333333333334,4.2,7.257333333333333,7.2,4.635866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
34,4.9,10.743333333333334,10.7,10.743333333333334,3.1,6.157333333333334,6.1,3.535866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
35,5.0,10.843333333333334,10.8,10.843333333333334,3.2,6.257333333333333,6.2,3.6358662849366983,1.2,4.958,5.55,4.958,0.2,3.257333333333334,3.2,0.6358662849366983
36,5.5,11.343333333333334,11.3,11.343333333333334,3.5,6.557333333333334,6.5,3.935866284936698,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
37,4.9,10.743333333333334,10.7,10.743333333333334,3.6,6.657333333333334,6.6,4.035866284936699,1.4,5.158,5.75,5.158,0.1,3.1573333333333338,3.1,0.5358662849366982
38,4.4,10.243333333333334,10.2,10.243333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
39,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.4,6.457333333333334,6.4,3.835866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
40,5.0,10.843333333333334,10.8,10.843333333333334,3.5,6.557333333333334,6.5,3.935866284936698,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.3,3.3573333333333335,3.3,0.7358662849366981
41,4.5,10.343333333333334,10.3,10.343333333333334,2.3,5.357333333333333,5.3,2.735866284936698,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.3,3.3573333333333335,3.3,0.7358662849366981
42,4.4,10.243333333333334,10.2,10.243333333333334,3.2,6.257333333333333,6.2,3.6358662849366983,1.3,5.058000000000001,5.6499999999999995,5.058000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
43,5.0,10.843333333333334,10.8,10.843333333333334,3.5,6.557333333333334,6.5,3.935866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.6,3.6573333333333338,3.6,1.0358662849366982
44,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.8,6.857333333333333,6.8,4.235866284936698,1.9,5.658,6.25,5.658,0.4,3.4573333333333336,3.4,0.8358662849366982
45,4.8,10.643333333333334,10.6,10.643333333333334,3.0,6.057333333333334,6.0,3.435866284936698,1.4,5.158,5.75,5.158,0.3,3.3573333333333335,3.3,0.7358662849366981
46,5.1,10.943333333333333,10.899999999999999,10.943333333333333,3.8,6.857333333333333,6.8,4.235866284936698,1.6,5.3580000000000005,5.949999999999999,5.3580000000000005,0.2,3.257333333333334,3.2,0.6358662849366983
47,4.6,10.443333333333333,10.399999999999999,10.443333333333333,3.2,6.257333333333333,6.2,3.6358662849366983,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
48,5.3,11.143333333333334,11.1,11.143333333333334,3.7,6.757333333333333,6.7,4.135866284936698,1.5,5.258000000000001,5.85,5.258000000000001,0.2,3.257333333333334,3.2,0.6358662849366983
49,5.0,10.843333333333334,10.8,10.843333333333334,3.3,6.357333333333333,6.3,3.735866284936698,1.4,5.158,5.75,5.158,0.2,3.257333333333334,3.2,0.6358662849366983
50,7.0,12.843333333333334,12.8,12.843333333333334,3.2,6.257333333333333,6.2,3.6358662849366983,4.7,8.458,9.05,8.458,1.4,4.457333333333334,4.4,1.835866284936698
51,6.4,12.243333333333334,12.2,12.243333333333334,3.2,6.257333333333333,6.2,3.6358662849366983,4.5,8.258000000000001,8.85,8.258000000000001,1.5,4.557333333333334,4.5,1.935866284936698
52,6.9,12.743333333333334,12.7,12.743333333333334,3.1,6.157333333333334,6.1,3.535866284936698,4.9,8.658000000000001,9.25,8.658000000000001,1.5,4.557333333333334,4.5,1.935866284936698
53,5.5,11.343333333333334,11.3,11.343333333333334,2.3,5.357333333333333,5.3,2.735866284936698,4.0,7.758000000000001,8.35,7.758000000000001,1.3,4.357333333333334,4.3,1.7358662849366984
54,6.5,12.343333333333334,12.3,12.343333333333334,2.8,5.857333333333333,5.8,3.235866284936698,4.6,8.358,8.95,8.358,1.5,4.557333333333334,4.5,1.935866284936698
55,5.7,11.543333333333333,11.5,11.543333333333333,2.8,5.857333333333333,5.8,3.235866284936698,4.5,8.258000000000001,8.85,8.258000000000001,1.3,4.357333333333334,4.3,1.7358662849366984
56,6.3,12.143333333333334,12.1,12.143333333333334,3.3,6.357333333333333,6.3,3.735866284936698,4.7,8.458,9.05,8.458,1.6,4.657333333333334,4.6,2.035866284936698
57,4.9,10.743333333333334,10.7,10.743333333333334,2.4,5.457333333333334,5.4,2.835866284936698,3.3,7.058,7.6499999999999995,7.058,1.0,4.057333333333334,4.0,1.435866284936698
58,6.6,12.443333333333333,12.399999999999999,12.443333333333333,2.9,5.957333333333334,5.9,3.335866284936698,4.6,8.358,8.95,8.358,1.3,4.357333333333334,4.3,1.7358662849366984
59,5.2,11.043333333333333,11.0,11.043333333333333,2.7,5.757333333333333,5.7,3.1358662849366983,3.9,7.658,8.25,7.658,1.4,4.457333333333334,4.4,1.835866284936698
60,5.0,10.843333333333334,10.8,10.843333333333334,2.0,5.057333333333334,5.0,2.435866284936698,3.5,7.258000000000001,7.85,7.258000000000001,1.0,4.057333333333334,4.0,1.435866284936698
61,5.9,11.743333333333334,11.7,11.743333333333334,3.0,6.057333333333334,6.0,3.435866284936698,4.2,7.958,8.55,7.958,1.5,4.557333333333334,4.5,1.935866284936698
62,6.0,11.843333333333334,11.8,11.843333333333334,2.2,5.257333333333333,5.2,2.6358662849366983,4.0,7.758000000000001,8.35,7.758000000000001,1.0,4.057333333333334,4.0,1.435866284936698
63,6.1,11.943333333333333,11.899999999999999,11.943333333333333,2.9,5.957333333333334,5.9,3.335866284936698,4.7,8.458,9.05,8.458,1.4,4.457333333333334,4.4,1.835866284936698
64,5.6,11.443333333333333,11.399999999999999,11.443333333333333,2.9,5.957333333333334,5.9,3.335866284936698,3.6,7.3580000000000005,7.949999999999999,7.3580000000000005,1.3,4.357333333333334,4.3,1.7358662849366984
65,6.7,12.543333333333333,12.5,12.543333333333333,3.1,6.157333333333334,6.1,3.535866284936698,4.4,8.158000000000001,8.75,8.158000000000001,1.4,4.457333333333334,4.4,1.835866284936698
66,5.6,11.443333333333333,11.399999999999999,11.443333333333333,3.0,6.057333333333334,6.0,3.435866284936698,4.5,8.258000000000001,8.85,8.258000000000001,1.5,4.557333333333334,4.5,1.935866284936698
67,5.8,11.643333333333334,11.6,11.643333333333334,2.7,5.757333333333333,5.7,3.1358662849366983,4.1,7.8580000000000005,8.45,7.8580000000000005,1.0,4.057333333333334,4.0,1.435866284936698
68,6.2,12.043333333333333,12.0,12.043333333333333,2.2,5.257333333333333,5.2,2.6358662849366983,4.5,8.258000000000001,8.85,8.258000000000001,1.5,4.557333333333334,4.5,1.935866284936698
69,5.6,11.443333333333333,11.399999999999999,11.443333333333333,2.5,5.557333333333334,5.5,2.935866284936698,3.9,7.658,8.25,7.658,1.1,4.157333333333334,4.1,1.5358662849366982
70,5.9,11.743333333333334,11.7,11.743333333333334,3.2,6.257333333333333,6.2,3.6358662849366983,4.8,8.558,9.149999999999999,8.558,1.8,4.857333333333334,4.8,2.2358662849366984
71,6.1,11.943333333333333,11.899999999999999,11.943333333333333,2.8,5.857333333333333,5.8,3.235866284936698,4.0,7.758000000000001,8.35,7.758000000000001,1.3,4.357333333333334,4.3,1.7358662849366984
